,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,ghanzi,1,BW,1570130431.02152,19,-21.7,21.65,74.42,4.32
138,antofagasta,20,CL,1570130431.4335656,67,-23.65,-70.4,60.8,20.8
139,castro,0,CL,1570130431.6882606,50,-42.48,-73.76,57.2,9.17
140,chapais,75,CA,1570130431.9442706,64,49.78,-74.86,37.4,8.05
141,lebu,75,ET,1570130432.358859,82,8.96,38.73,60.8,13.87
142,norman wells,90,CA,1570130433.604302,100,65.28,-126.83,41.0,3.36
143,jinxiang,93,CN,1570130433.8652358,32,35.07,116.31,73.13,1.59
144,batagay,100,RU,1570130434.1126258,71,67.65,134.64,22.75,2.28
145,voh,51,NC,1570130434.4608188,77,-20.95,164.69,66.65,10.6
146,gore,100,ET,1570130434.779495,98,8.15,35.53,59.02,1.83
147,belyye stolby,0,RU,1570130435.0424488,67,55.33,37.86,61.0,11.18
148,vardo,40,US,1570130435.4026315,61,39.62,-77.74,90.0,8.05
149,takoradi,78,GH,1570130435.648649,91,4.89,-1.75,75.77,5.23
150,port alfred,99,ZA,1570130435.8912776,90,-33.59,26.89,60.01,4.0
151,saint george,20,GR,1570130436.1837986,93,39.45,22.34,64.4,5.82
152,gorontalo,38,ID,1570130436.436765,91,0.54,123.06,71.62,3.18
153,hambantota,0,LK,1570130436.6690946,100,6.12,81.12,75.2,3.36
154,phalaborwa,0,ZA,1570130437.077706,44,-23.95,31.14,75.2,4.7
155,bathsheba,75,BB,1570130437.3525865,70,13.22,-59.52,84.2,2.24
156,karasjok,75,NO,1570130437.6196725,80,69.47,25.52,35.6,16.11
157,bara,100,NG,1570130437.9072282,77,10.41,10.6,76.71,3.85
158,punakha,87,BT,1570130438.2268176,95,27.58,89.86,42.11,1.61
159,follonica,0,IT,1570130438.6017957,50,42.93,10.76,64.99,10.29
160,benjamin hill,0,MX,1570130439.0643687,48,30.17,-111.1,88.0,1.99
161,kaitangata,60,NZ,1570130439.3170333,77,-46.28,169.85,45.0,5.01
162,plouzane,90,FR,1570130439.6894774,93,48.38,-4.62,60.8,13.87
163,aktau,0,KZ,1570130440.236114,50,43.65,51.16,57.2,8.95
164,acapulco,75,MX,1570130440.5065656,74,16.86,-99.88,84.2,2.24
165,hauterive,1,CA,1570130440.9423347,37,49.18,-68.27,51.8,10.29
166,vangaindrano,86,MG,1570130441.3622468,94,-23.35,47.6,70.97,3.32
167,pong,84,CM,1570130441.6186898,98,4.23,10.63,73.07,2.77
168,fairbanks,90,US,1570130441.8026457,100,64.84,-147.72,35.6,5.82
169,pasighat,3,IN,1570130443.2411816,96,28.06,95.33,65.75,3.13
170,tommot,97,RU,1570130443.8147457,96,58.97,126.27,27.23,3.35
171,atar,0,MR,1570130444.0830538,15,20.52,-13.05,105.8,9.17
172,kasulu,20,TZ,1570130444.3477845,69,-4.57,30.11,78.8,2.95
173,mar del plata,0,AR,1570130444.7010815,22,-46.43,-67.52,58.37,15.84
174,straumen,75,NO,1570130445.01194,65,63.87,11.3,42.01,11.41
175,flinders,0,AU,1570130445.2802753,30,-34.58,150.85,72.0,10.29
176,sapu,76,CN,1570130445.5706303,75,36.17,107.71,55.99,21.16
177,birao,100,CF,1570130445.8370073,81,10.3,22.78,75.23,5.14
178,zhezkazgan,0,KZ,1570130446.1656802,22,47.8,67.71,49.1,8.21
179,vestmanna,75,FO,1570130446.4770277,65,62.16,-7.17,44.6,29.97
180,portneuf,75,CA,1570130446.7926133,37,46.69,-71.89,52.0,4.7
181,saint-pierre,0,FR,1570130447.1049287,76,48.95,4.24,50.0,4.7
182,celestun,0,MX,1570130447.3684976,76,20.87,-90.4,82.52,9.13
183,port elizabeth,90,US,1570130448.9845326,88,39.31,-74.98,70.0,9.17
184,neryungri,13,RU,1570130449.4019103,66,56.66,124.71,20.03,4.91
185,purpe,100,RU,1570130449.659237,94,64.48,76.69,44.01,19.51
186,bonthe,73,SL,1570130450.247194,81,7.53,-12.5,79.43,9.53
187,riberalta,75,BO,1570130450.5422332,50,-11.0,-66.08,95.0,2.84
188,fort nelson,75,CA,1570130450.8080187,87,58.81,-122.69,50.0,2.24
189,katsuura,75,JP,1570130451.074543,73,33.93,134.5,75.2,6.93
190,arraial do cabo,0,BR,1570130451.2491968,69,-22.97,-42.02,80.6,27.51
191,portland,75,US,1570130451.9707723,57,43.66,-70.25,54.0,4.7
192,chernyshevskiy,99,RU,1570130452.231326,96,63.01,112.47,31.46,8.52
